142,141,188,67,,3Sensoren auf 26h 10sec Messzyklus
188,323,263,69,,
251,386,275,68,,
250,330,254,65,,4 Spalte == temp (sensor hat irgendwie nen Schmiss)
258,300,251,66,,
258,277,245,66,,
262,269,247,67,,
243,244,227,64,,
241,236,224,64,,
254,250,237,67,,
239,233,222,64,,
237,227,218,64,,
234,225,218,64,,
238,229,221,65,,
237,226,219,64,,
239,226,220,65,,
238,223,218,65,,
229,213,210,63,,
229,215,212,63,,
232,218,215,64,,
229,214,213,64,,
219,211,210,63,,
215,209,209,63,,
226,210,212,64,,
227,210,213,64,,
221,203,206,63,,
224,203,208,64,,
224,203,208,64,,
221,199,204,63,,
221,199,206,63,,
226,203,209,64,,
227,203,209,64,,
226,200,207,64,,
225,200,208,64,,
226,201,209,64,,
222,197,207,64,,
220,195,204,63,,
220,195,205,63,,
224,199,210,64,,
225,200,210,64,,
217,192,204,63,,
215,190,203,63,,
215,189,201,62,,
220,194,208,64,,
217,192,205,63,,
223,196,209,64,,
220,194,207,64,,
221,194,207,63,,
212,186,199,62,,
219,191,205,63,,
220,192,206,63,,
222,194,208,64,,
220,193,208,64,,
212,185,201,62,,
222,193,208,64,,
221,192,207,64,,
221,192,207,64,,
223,195,211,65,,
223,194,210,64,,
224,195,211,65,,
220,191,208,64,,
220,191,208,64,,
221,191,209,65,,
221,191,209,65,,
217,187,204,63,,
218,189,206,64,,
215,185,203,63,,
215,185,203,63,,
207,178,196,62,,
210,180,199,62,,
217,188,206,64,,
212,183,201,62,,
207,177,196,62,,
207,177,196,61,,
206,176,195,62,,
206,176,194,61,,
210,181,201,63,,
206,177,196,62,,
206,177,197,62,,
206,177,198,62,,
209,181,202,63,,
208,179,200,63,,
206,177,199,62,,
205,176,197,62,,
204,175,197,62,,
195,167,189,60,,
193,166,187,60,,
194,166,188,60,,
195,168,189,61,,
200,172,194,61,,
197,169,191,61,,
194,167,189,60,,
191,163,185,60,,
195,167,191,61,,
200,172,196,62,,
198,170,194,62,,
200,172,196,62,,
194,167,191,61,,
194,167,190,60,,
196,169,193,61,,
195,167,192,61,,
192,164,189,60,,
193,166,190,61,,
197,170,195,62,,
198,171,195,62,,
200,173,198,63,,
199,172,197,62,,
202,174,199,63,,
200,172,197,62,,
201,173,198,62,,
200,172,197,62,,
198,171,195,62,,
199,172,197,62,,
197,170,195,61,,
194,168,193,61,,
196,170,195,61,,
197,171,195,62,,
198,172,197,62,,
196,170,195,61,,
193,168,193,61,,
194,168,194,61,,
192,167,192,61,,
196,169,194,61,,
189,162,187,60,,
195,168,192,61,,
193,166,190,60,,
190,163,187,60,,
192,164,189,60,,
197,169,195,62,,
198,171,196,62,,
201,172,198,62,,
202,174,199,62,,
200,172,197,62,,
199,171,195,62,,
195,167,192,61,,
198,170,195,62,,
191,163,187,60,,
198,170,194,61,,
199,171,195,61,,
196,168,193,61,,
189,162,186,60,,
200,172,198,62,,
200,172,197,62,,
190,163,188,60,,
187,161,186,60,,
190,163,189,61,,
190,164,190,60,,
188,162,188,60,,
190,164,191,61,,
186,161,187,60,,
185,160,187,60,,
183,158,184,59,,
185,160,187,60,,
188,162,190,60,,
186,161,188,60,,
186,161,188,60,,
187,162,189,60,,
187,162,190,60,,
188,163,190,60,,
191,165,192,61,,
188,163,190,60,,
186,162,189,60,,
189,165,193,61,,
186,162,189,60,,
193,168,196,61,,
191,166,194,61,,
193,168,195,61,,
190,165,192,60,,
197,172,201,62,,
193,168,196,61,,
202,177,206,63,,
201,176,205,63,,
201,176,203,63,,
203,177,205,63,,
205,179,207,64,,
204,179,207,64,,
203,177,205,63,,
204,178,206,63,,
204,178,206,63,,
203,178,206,63,,
187,162,189,60,,
191,166,194,62,,
200,175,204,64,,
200,175,203,63,,
199,175,203,63,,
198,173,202,63,,
196,172,201,63,,
189,165,194,61,,
187,163,192,61,,
193,170,199,63,,
189,165,195,62,,
188,165,195,62,,
190,166,196,62,,
189,166,196,62,,
191,168,197,62,,
181,159,187,60,,
181,158,187,59,,
190,167,197,62,,
197,174,204,63,,
194,171,202,63,,
185,162,192,61,,
184,161,191,61,,
184,161,191,61,,
194,171,201,63,,
189,167,197,62,,
190,167,198,63,,
182,160,190,60,,
184,161,191,61,,
195,173,204,63,,
198,175,206,64,,
198,176,207,64,,
203,177,204,62,,
202,175,204,62,,
201,174,203,62,,
215,188,218,65,,
197,170,198,61,,
193,168,196,61,,
194,168,196,61,,
193,167,196,61,,
193,167,196,61,,
188,163,192,61,,
191,165,195,61,,
184,160,189,60,,
200,175,206,64,,
199,174,205,63,,
194,169,200,62,,
194,169,201,63,,
187,164,194,61,,
214,191,224,68,,
211,186,217,65,,
207,181,213,64,,
202,175,206,63,,
195,169,200,62,,
206,179,212,65,,
192,167,197,61,,
198,172,204,63,,
205,179,212,65,,
207,181,214,65,,
195,170,201,62,,
193,168,199,62,,
193,169,200,62,,
199,176,207,63,,
214,190,223,67,,
197,173,205,63,,
189,165,196,61,,
197,173,206,64,,
192,169,200,62,,
201,178,210,64,,
188,165,196,61,,
183,159,191,60,,
190,166,199,62,,
193,170,202,63,,
192,168,201,63,,
202,178,212,65,,
201,177,211,64,,
203,178,213,65,,
202,178,212,64,,
199,175,208,64,,
202,178,213,65,,
198,175,209,64,,
203,178,212,65,,
199,174,207,64,,
201,175,210,65,,
207,181,216,66,,
202,178,212,65,,
190,167,199,62,,
196,172,205,63,,
202,178,212,65,,
204,180,215,66,,
199,176,209,64,,
189,166,199,62,,
196,172,207,64,,
200,176,211,65,,
201,179,213,65,,
202,180,215,66,,
205,181,217,66,,
201,179,213,65,,
197,173,209,64,,
196,173,208,65,,
191,168,202,63,,
191,168,203,63,,
191,167,202,63,,
193,169,203,63,,
204,178,215,66,,
205,181,217,66,,
198,174,210,64,,
207,183,221,68,,
211,187,224,68,,
212,187,224,67,,
212,188,225,68,,
213,188,225,68,,
214,189,225,68,,
213,188,225,68,,
212,187,224,68,,
211,184,221,67,,
207,180,217,66,,
201,176,212,65,,
203,178,215,66,,
203,178,215,66,,
202,176,214,66,,
196,172,209,65,,
197,172,209,65,,
207,183,221,67,,
207,182,221,67,,
207,182,220,67,,
206,181,219,67,,
206,181,220,67,,
